Building ID,yield drift,yield force,peak drift,peak force,2% drift,2% force,2% area,fitted initial stiffness,fitted hardening stiffness,fitted hardening ratio,hardening ratio
49,0.015281599,0.740896104,0.025641000000000004,0.7882681109999999,0.02,0.7789461109999999,0.00923199,48.38159006,5.762368843,0.119102511,0.05
50,0.014946505,0.750546904,0.0375321,0.813120081,0.02,0.768326869,0.009444066,49.76811927,3.447733398,0.06927594299999999,0.05
51,0.016291292,0.7671947709999999,0.023974400000000003,0.850630222,0.02,0.817141511,0.009191312,46.98965773,12.01114817,0.255612591,0.05
52,0.016142897,0.858638633,0.04,0.8788866670000001,0.02,0.8702846670000001,0.010232489,52.90980065,1.202137464,0.022720506,0.022720506
53,0.015304541999999999,0.7441747870000001,0.0249359,0.803754505,0.02,0.790426263,0.009285728,48.52177187,7.901360819,0.162841556,0.05
54,0.010022547,0.650904943,0.04,0.726064,0.02,0.689702222,0.009884822,64.68000971,3.0158814119999997,0.04662772,0.04662772
55,0.00966599,0.592232075,0.022756400000000003,0.654963444,0.02,0.649070556,0.009312706,61.11577510000001,5.687730598,0.093064853,0.05
56,0.009215645,0.5981981679999999,0.0223077,0.673493495,0.02,0.667350707,0.009628176,64.75362343,6.766022496000001,0.104488709,0.05
57,0.009409054,0.887626279,0.014679499999999998,0.998843556,0.014679499999999998,0.998843556,0.009168665,94.23125066,22.29892316,0.236640425,0.05
58,0.010220195,0.7266287459999999,0.04,0.767708889,0.02,0.759132778,0.010932283000000001,70.12053166,1.833302513,0.026145017000000003,0.026145017000000003
59,0.009728625,0.7092370809999999,0.04,0.746090505,0.02,0.738520808,0.010849778999999999,71.90094174,1.621089059,0.022546145,0.022546145
60,0.009068692,0.752314991,0.021859,0.7965420440000001,0.02,0.793859911,0.011929273999999998,82.48500458,4.322100562,0.052398622,0.05
61,0.008948521999999999,0.8623397140000001,0.0149359,0.9990093329999999,0.0149359,0.9990093329999999,0.009449230999999999,96.31383987,23.73712273,0.24645599,0.05
62,0.009031798,0.757307712,0.0267949,0.81671701,0.02,0.805558384,0.012030055,83.09124414,4.044584348,0.048676421,0.048676421
63,0.012600591999999999,0.7488730659999999,0.0259402,0.8259303109999999,0.02,0.798902222,0.010438434,59.39999276,6.413262897999999,0.10796740199999999,0.05
64,0.011915004,0.847715828,0.0340598,0.858249444,0.02,0.8572705559999999,0.011935291,71.00631832,0.661878549,0.009321404,0.009321404
65,0.011094506,0.673159345,0.0166239,0.7250117979999999,0.02,0.724685657,0.010067064,60.64557995,10.56944304,0.17428216600000002,0.05
66,0.013454192,0.8874163829999999,0.0278632,0.9921256890000001,0.02,0.9675831109999999,0.011977426999999999,65.76197957,9.014914716,0.13708399300000002,0.05
67,0.013698063,0.8867055429999999,0.03948719999999999,0.945465222,0.02,0.9216394440000001,0.011684357,64.19833821,3.0032587339999997,0.046780942,0.046780942
68,0.012602806999999999,0.785472912,0.0381624,0.853928485,0.02,0.819236768,0.010819421000000001,62.03387316,3.286263692,0.05297531,0.05
69,0.012662623999999999,0.915185915,0.0160256,0.999982578,0.0160256,0.999982578,0.009027269000000001,72.22505268,26.71280135,0.369855062,0.05
70,0.013533033,0.8958151440000001,0.0301709,0.9821770000000001,0.02,0.963936111,0.01198725,65.92579987,6.78088086,0.102856255,0.05
71,0.012644272,0.801557574,0.0264957,0.8624546259999999,0.02,0.860845657,0.011158027,63.147153700000004,5.882989746,0.093163182,0.05
