building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,R,Cs lower bound 1,Cs lower bound 2,drift limit,Ss,S1,site class
119,5,30,1.0,5,80,60,12,0.044,0.5,0.025,1.5,0.6,D
120,5,30,1.0,5,80,60,12,0.044,0.5,0.03,2.5,1.2,C
121,5,30,1.0,5,80,60,12,0.044,0.5,0.03,2.5,1.2,D
122,5,30,1.0,5,80,60,12,0.044,0.5,0.03,2,0.9,C
123,5,30,1.0,5,80,60,12,0.044,0.5,0.03,2,0.9,D
124,5,30,1.0,5,80,60,12,0.044,0.5,0.03,1.5,0.6,C
125,5,30,1.0,5,80,60,12,0.044,0.5,0.03,1.5,0.6,D
126,5,30,1.0,5,80,60,12,0.0294,0.334,0.02,2.5,1.2,C
127,5,30,1.0,5,80,60,12,0.0294,0.334,0.02,2.5,1.2,D
128,5,30,1.0,5,80,60,12,0.0294,0.334,0.02,2,0.9,C
129,5,30,1.0,5,80,60,12,0.0294,0.334,0.02,2,0.9,D
130,5,30,1.0,5,80,60,12,0.0294,0.334,0.02,1.5,0.6,C
131,5,30,1.0,5,80,60,12,0.0294,0.334,0.02,1.5,0.6,D
132,5,30,1.0,5,80,60,12,0.0294,0.334,0.025,2.5,1.2,C
133,5,30,1.0,5,80,60,12,0.0294,0.334,0.025,2.5,1.2,D
134,5,30,1.0,5,80,60,12,0.0294,0.334,0.025,2,0.9,C
135,5,30,1.0,5,80,60,12,0.0294,0.334,0.025,2,0.9,D
136,5,30,1.0,5,80,60,12,0.0294,0.334,0.025,1.5,0.6,C
137,5,30,1.0,5,80,60,12,0.0294,0.334,0.025,1.5,0.6,D
138,5,30,1.0,5,80,60,12,0.0294,0.334,0.03,2.5,1.2,C
139,5,30,1.0,5,80,60,12,0.0294,0.334,0.03,2.5,1.2,D
140,5,30,1.0,5,80,60,12,0.0294,0.334,0.03,2,0.9,C
141,5,30,1.0,5,80,60,12,0.0294,0.334,0.03,2,0.9,D
142,5,30,1.0,5,80,60,12,0.0294,0.334,0.03,1.5,0.6,C
143,5,30,1.0,5,80,60,12,0.0294,0.334,0.03,1.5,0.6,D
144,5,30,1.0,5,80,60,12,0.0146,0.167,0.02,2.5,1.2,C
145,5,30,1.0,5,80,60,12,0.0146,0.167,0.02,2.5,1.2,D
146,5,30,1.0,5,80,60,12,0.0146,0.167,0.02,2,0.9,C
147,5,30,1.0,5,80,60,12,0.0146,0.167,0.02,2,0.9,D
148,5,30,1.0,5,80,60,12,0.0146,0.167,0.02,1.5,0.6,C
149,5,30,1.0,5,80,60,12,0.0146,0.167,0.02,1.5,0.6,D
150,5,30,1.0,5,80,60,12,0.0146,0.167,0.025,2.5,1.2,C
151,5,30,1.0,5,80,60,12,0.0146,0.167,0.025,2.5,1.2,D
152,5,30,1.0,5,80,60,12,0.0146,0.167,0.025,2,0.9,C
153,5,30,1.0,5,80,60,12,0.0146,0.167,0.025,2,0.9,D
154,5,30,1.0,5,80,60,12,0.0146,0.167,0.025,1.5,0.6,C
155,5,30,1.0,5,80,60,12,0.0146,0.167,0.025,1.5,0.6,D
156,5,30,1.0,5,80,60,12,0.0146,0.167,0.03,2.5,1.2,C
157,5,30,1.0,5,80,60,12,0.0146,0.167,0.03,2.5,1.2,D
158,5,30,1.0,5,80,60,12,0.0146,0.167,0.03,2,0.9,C
159,5,30,1.0,5,80,60,12,0.0146,0.167,0.03,2,0.9,D
160,5,30,1.0,5,80,60,12,0.0146,0.167,0.03,1.5,0.6,C
161,5,30,1.0,5,80,60,12,0.0146,0.167,0.03,1.5,0.6,D
