building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,column beam ratio
382,5,30,2,5,50,67.5,1.5
383,5,30,2,5,50,67.5,2
384,5,30,2,5,50,115,1
385,5,30,2,5,50,115,1.5
386,5,30,2,5,50,115,2
387,5,30,2,5,80,20,1
388,5,30,2,5,80,20,1.5
389,5,30,2,5,80,20,2
390,5,30,2,5,80,67.5,1
391,5,30,2,5,80,67.5,1.5
392,5,30,2,5,80,67.5,2
393,5,30,2,5,80,115,1
394,5,30,2,5,80,115,1.5
395,5,30,2,5,80,115,2
396,5,30,2,5,110,20,1
397,5,30,2,5,110,20,1.5
398,5,30,2,5,110,20,2
399,5,30,2,5,110,67.5,1
400,5,30,2,5,110,67.5,1.5
401,5,30,2,5,110,67.5,2
402,5,30,2,5,110,115,1
403,5,30,2,5,110,115,1.5
404,5,30,2,5,110,115,2
405,5,40,1,3,50,20,1
406,5,40,1,3,50,20,1.5
407,5,40,1,3,50,20,2
408,5,40,1,3,50,67.5,1
409,5,40,1,3,50,67.5,1.5
410,5,40,1,3,50,67.5,2
411,5,40,1,3,50,115,1
412,5,40,1,3,50,115,1.5
413,5,40,1,3,50,115,2
414,5,40,1,3,80,20,1
415,5,40,1,3,80,20,1.5
416,5,40,1,3,80,20,2
417,5,40,1,3,80,67.5,1
418,5,40,1,3,80,67.5,1.5
419,5,40,1,3,80,67.5,2
420,5,40,1,3,80,115,1
421,5,40,1,3,80,115,1.5
422,5,40,1,3,80,115,2
423,5,40,1,3,110,20,1
424,5,40,1,3,110,20,1.5
425,5,40,1,3,110,20,2
426,5,40,1,3,110,67.5,1
427,5,40,1,3,110,67.5,1.5
428,5,40,1,3,110,67.5,2
429,5,40,1,3,110,115,1
430,5,40,1,3,110,115,1.5
431,5,40,1,3,110,115,2
432,5,40,1,5,50,20,1
433,5,40,1,5,50,20,1.5
434,5,40,1,5,50,20,2
435,5,40,1,5,50,67.5,1
436,5,40,1,5,50,67.5,1.5
437,5,40,1,5,50,67.5,2
438,5,40,1,5,50,115,1
439,5,40,1,5,50,115,1.5
440,5,40,1,5,50,115,2
441,5,40,1,5,80,20,1
442,5,40,1,5,80,20,1.5
443,5,40,1,5,80,20,2
444,5,40,1,5,80,67.5,1
445,5,40,1,5,80,67.5,1.5
446,5,40,1,5,80,67.5,2
447,5,40,1,5,80,115,1
448,5,40,1,5,80,115,1.5
449,5,40,1,5,80,115,2
450,5,40,1,5,110,20,1
451,5,40,1,5,110,20,1.5
452,5,40,1,5,110,20,2
453,5,40,1,5,110,67.5,1
454,5,40,1,5,110,67.5,1.5
455,5,40,1,5,110,67.5,2
456,5,40,1,5,110,115,1
457,5,40,1,5,110,115,1.5
458,5,40,1,5,110,115,2
459,5,40,1.5,3,50,20,1
460,5,40,1.5,3,50,20,1.5
461,5,40,1.5,3,50,20,2
462,5,40,1.5,3,50,67.5,1
463,5,40,1.5,3,50,67.5,1.5
464,5,40,1.5,3,50,67.5,2
465,5,40,1.5,3,50,115,1
466,5,40,1.5,3,50,115,1.5
467,5,40,1.5,3,50,115,2
468,5,40,1.5,3,80,20,1
469,5,40,1.5,3,80,20,1.5
470,5,40,1.5,3,80,20,2
471,5,40,1.5,3,80,67.5,1
472,5,40,1.5,3,80,67.5,1.5
473,5,40,1.5,3,80,67.5,2
474,5,40,1.5,3,80,115,1
475,5,40,1.5,3,80,115,1.5
476,5,40,1.5,3,80,115,2
477,5,40,1.5,3,110,20,1
478,5,40,1.5,3,110,20,1.5
479,5,40,1.5,3,110,20,2
480,5,40,1.5,3,110,67.5,1
481,5,40,1.5,3,110,67.5,1.5
482,5,40,1.5,3,110,67.5,2
483,5,40,1.5,3,110,115,1
484,5,40,1.5,3,110,115,1.5
485,5,40,1.5,3,110,115,2
486,5,40,1.5,5,50,20,1
487,5,40,1.5,5,50,20,1.5
488,5,40,1.5,5,50,20,2
489,5,40,1.5,5,50,67.5,1
490,5,40,1.5,5,50,67.5,1.5
491,5,40,1.5,5,50,67.5,2
492,5,40,1.5,5,50,115,1
493,5,40,1.5,5,50,115,1.5
494,5,40,1.5,5,50,115,2
495,5,40,1.5,5,80,20,1
496,5,40,1.5,5,80,20,1.5
497,5,40,1.5,5,80,20,2
498,5,40,1.5,5,80,67.5,1
499,5,40,1.5,5,80,67.5,1.5
500,5,40,1.5,5,80,67.5,2
501,5,40,1.5,5,80,115,1
502,5,40,1.5,5,80,115,1.5
503,5,40,1.5,5,80,115,2
504,5,40,1.5,5,110,20,1
505,5,40,1.5,5,110,20,1.5
506,5,40,1.5,5,110,20,2
507,5,40,1.5,5,110,67.5,1
508,5,40,1.5,5,110,67.5,1.5
509,5,40,1.5,5,110,67.5,2
510,5,40,1.5,5,110,115,1
511,5,40,1.5,5,110,115,1.5
512,5,40,1.5,5,110,115,2
513,5,40,2,3,50,20,1
514,5,40,2,3,50,20,1.5
515,5,40,2,3,50,20,2
516,5,40,2,3,50,67.5,1
517,5,40,2,3,50,67.5,1.5
518,5,40,2,3,50,67.5,2
519,5,40,2,3,50,115,1
520,5,40,2,3,50,115,1.5
521,5,40,2,3,50,115,2
522,5,40,2,3,80,20,1
523,5,40,2,3,80,20,1.5
524,5,40,2,3,80,20,2
525,5,40,2,3,80,67.5,1
526,5,40,2,3,80,67.5,1.5
527,5,40,2,3,80,67.5,2
528,5,40,2,3,80,115,1
529,5,40,2,3,80,115,1.5
530,5,40,2,3,80,115,2
531,5,40,2,3,110,20,1
532,5,40,2,3,110,20,1.5
533,5,40,2,3,110,20,2
534,5,40,2,3,110,67.5,1
535,5,40,2,3,110,67.5,1.5
536,5,40,2,3,110,67.5,2
537,5,40,2,3,110,115,1
538,5,40,2,3,110,115,1.5
539,5,40,2,3,110,115,2
540,5,40,2,5,50,20,1
541,5,40,2,5,50,20,1.5
542,5,40,2,5,50,20,2
543,5,40,2,5,50,67.5,1
544,5,40,2,5,50,67.5,1.5
545,5,40,2,5,50,67.5,2
