Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40,GM41,GM42,GM43,GM44
0.24,0.48262,0.64768,0.84993,1.0802,1.0537,0.61355,0.74694,0.71325,0.57495,0.79487,2.0996,1.3269,1.6197,1.0555,0.44749,0.46173,0.3504,0.53555,0.43993,0.45969,0.5411,0.51578,1.1346,0.9879,1.611,0.94232,1.5429,0.76059,0.92634,0.82908,0.58339,0.4556,0.72017,0.87756,0.81374,1.1167,0.20707,0.26069,0.87445,0.80349,1.5842,0.9971,1.2337,1.0504
0.25,0.52946,0.68397,0.78317,0.96224,1.1891,0.65666,0.73526,0.69287,0.56959,0.90686,1.8859,1.5133,1.518,1.0871,0.44463,0.43207,0.39787,0.68651,0.38984,0.48404,0.57453,0.48193,1.1925,0.93211,1.6468,0.83419,1.4104,0.64726,0.9502,0.92837,0.56234,0.39724,0.66783,0.85558,0.69954,1.2229,0.22782,0.28808,0.9489,0.94386,1.5631,1.0395,1.629,1.0214
0.26,0.66779,0.73038,0.66834,0.88285,1.3045,0.65169,0.72763,0.7845,0.70461,0.95803,1.6976,1.5402,1.3201,1.0065,0.51648,0.41063,0.45779,0.79365,0.43963,0.55291,0.52415,0.46963,1.2469,0.96181,1.8954,0.74082,1.2368,0.69814,0.91672,0.94412,0.58611,0.45947,0.7132,0.77838,0.71824,1.3012,0.23567,0.31077,0.98554,0.91786,1.5088,0.8607,1.8589,1.0307
0.27,0.74408,0.7256,0.62216,0.83908,1.2932,0.60501,0.61202,0.90005,0.71795,0.83789,1.3892,1.3729,1.2614,0.95195,0.50336,0.387,0.46271,0.86497,0.47915,0.54385,0.45468,0.47342,1.2054,0.99264,2.279,0.78202,1.0592,0.74986,0.86563,1.0021,0.61122,0.44132,0.81639,0.64161,0.73266,1.3362,0.24438,0.30833,1.0184,0.86059,1.396,0.77798,1.7586,1.0429
0.28,0.71624,0.75199,0.62389,0.81961,1.2789,0.56998,0.51045,0.93386,0.7431,0.84527,1.2841,1.3,1.3233,1.0355,0.45531,0.41685,0.47043,0.90948,0.44629,0.48929,0.43986,0.53104,1.1808,1.0062,2.2931,0.8271,1.1101,0.85943,0.872,1.0534,0.56661,0.40745,0.91472,0.63097,0.74355,1.2929,0.31238,0.33664,1.0281,0.83724,1.245,0.80173,1.4228,1.0159
0.29,0.59021,0.81763,0.64947,0.88128,1.2979,0.59815,0.50562,0.82798,0.68317,0.9514,1.4207,1.2557,1.2421,1.1034,0.46105,0.50679,0.46108,0.90793,0.37698,0.45302,0.37655,0.50054,1.2383,1.0989,1.9946,0.75112,0.98793,0.99768,0.88166,1.099,0.48846,0.35206,0.94192,0.71271,0.76215,1.2467,0.32202,0.36778,1.0921,0.80783,1.1307,0.8154,1.2413,0.97593
0.3,0.54407,0.82447,0.70936,0.96494,1.3696,0.66529,0.5158,0.95962,0.77469,0.97513,1.1996,1.2819,1.3386,1.0797,0.46559,0.56354,0.45839,0.85502,0.33641,0.39953,0.37214,0.40634,1.2456,1.2898,1.8529,0.86942,0.9404,1.0861,0.88181,1.0231,0.52603,0.31058,0.86888,0.83911,0.78337,1.1972,0.2846,0.37635,1.1525,0.75431,1.1203,0.76735,1.1427,0.94057
0.31,0.54584,0.79906,0.79461,1.0205,1.4243,0.74068,0.52426,1.057,0.81441,0.93593,1.0161,1.3068,1.4244,1.0235,0.46999,0.5384,0.49421,0.76716,0.34419,0.31952,0.38891,0.41535,1.222,1.3906,1.9148,0.89434,0.93409,1.0783,0.87441,0.95891,0.57331,0.3101,0.78453,0.93495,0.7732,1.1359,0.24769,0.36133,1.1687,0.73432,1.0737,0.62536,1.0437,1.0384
0.32,0.53075,0.75941,0.86598,1.0755,1.4225,0.80776,0.54291,1.0688,0.81179,1.0115,0.95584,1.2364,1.3185,0.97552,0.53748,0.50003,0.54309,0.69707,0.31357,0.31532,0.41609,0.41372,1.2473,1.5009,1.8886,0.9706,0.94009,0.96549,0.88986,0.97634,0.56779,0.32713,0.78073,0.93222,0.71345,1.0599,0.24274,0.32563,1.1209,0.73963,0.99667,0.69079,1.0874,1.1515
0.33,0.49513,0.71832,0.89409,1.0927,1.3356,0.84402,0.53308,1.0472,0.78425,0.92274,0.96897,1.11,1.2022,0.87014,0.59389,0.48782,0.58982,0.71093,0.2829,0.32073,0.44288,0.41249,1.2522,1.5283,1.9886,1.0535,0.96046,0.79223,0.93266,1.1383,0.57538,0.32473,0.80675,0.95101,0.78804,1.0641,0.23792,0.2991,1.0988,0.75142,1.0332,0.67599,1.1325,1.2427
