building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,Ss,S1,site class
148,5,40,1.0,1,80,67.5,1.5,0.6,C
149,5,40,1.0,1,80,67.5,1.5,0.6,D
150,5,40,1.0,3,80,67.5,2.9,1.0,C
151,5,40,1.0,3,80,67.5,2.9,1.0,D
152,5,40,1.0,3,80,67.5,2.2,0.8,C
153,5,40,1.0,3,80,67.5,2.2,0.8,D
154,5,40,1.0,3,80,67.5,1.5,0.6,C
155,5,40,1.0,3,80,67.5,1.5,0.6,D
156,5,40,1.0,5,80,67.5,2.9,1.0,C
157,5,40,1.0,5,80,67.5,2.9,1.0,D
158,5,40,1.0,5,80,67.5,2.2,0.8,C
159,5,40,1.0,5,80,67.5,2.2,0.8,D
160,5,40,1.0,5,80,67.5,1.5,0.6,C
161,5,40,1.0,5,80,67.5,1.5,0.6,D
162,7,20,1.0,1,80,67.5,2.9,1.0,C
163,7,20,1.0,1,80,67.5,2.9,1.0,D
164,7,20,1.0,1,80,67.5,2.2,0.8,C
165,7,20,1.0,1,80,67.5,2.2,0.8,D
166,7,20,1.0,1,80,67.5,1.5,0.6,C
167,7,20,1.0,1,80,67.5,1.5,0.6,D
168,7,20,1.0,3,80,67.5,2.9,1.0,C
169,7,20,1.0,3,80,67.5,2.9,1.0,D
170,7,20,1.0,3,80,67.5,2.2,0.8,C
171,7,20,1.0,3,80,67.5,2.2,0.8,D
172,7,20,1.0,3,80,67.5,1.5,0.6,C
173,7,20,1.0,3,80,67.5,1.5,0.6,D
174,7,20,1.0,5,80,67.5,2.9,1.0,C
175,7,20,1.0,5,80,67.5,2.9,1.0,D
176,7,20,1.0,5,80,67.5,2.2,0.8,C
177,7,20,1.0,5,80,67.5,2.2,0.8,D
178,7,20,1.0,5,80,67.5,1.5,0.6,C
179,7,20,1.0,5,80,67.5,1.5,0.6,D
180,7,30,1.0,1,80,67.5,2.9,1.0,C
181,7,30,1.0,1,80,67.5,2.9,1.0,D
182,7,30,1.0,1,80,67.5,2.2,0.8,C
183,7,30,1.0,1,80,67.5,2.2,0.8,D
184,7,30,1.0,1,80,67.5,1.5,0.6,C
185,7,30,1.0,1,80,67.5,1.5,0.6,D
186,7,30,1.0,3,80,67.5,2.9,1.0,C
187,7,30,1.0,3,80,67.5,2.9,1.0,D
188,7,30,1.0,3,80,67.5,2.2,0.8,C
189,7,30,1.0,3,80,67.5,2.2,0.8,D
190,7,30,1.0,3,80,67.5,1.5,0.6,C
191,7,30,1.0,3,80,67.5,1.5,0.6,D
192,7,30,1.0,5,80,67.5,2.9,1.0,C
193,7,30,1.0,5,80,67.5,2.9,1.0,D
194,7,30,1.0,5,80,67.5,2.2,0.8,C
195,7,30,1.0,5,80,67.5,2.2,0.8,D
196,7,30,1.0,5,80,67.5,1.5,0.6,C
197,7,30,1.0,5,80,67.5,1.5,0.6,D
198,7,40,1.0,1,80,67.5,2.9,1.0,C
199,7,40,1.0,1,80,67.5,2.9,1.0,D
200,7,40,1.0,1,80,67.5,2.2,0.8,C
201,7,40,1.0,1,80,67.5,2.2,0.8,D
202,7,40,1.0,1,80,67.5,1.5,0.6,C
203,7,40,1.0,1,80,67.5,1.5,0.6,D
204,7,40,1.0,3,80,67.5,2.9,1.0,C
205,7,40,1.0,3,80,67.5,2.9,1.0,D
206,7,40,1.0,3,80,67.5,2.2,0.8,C
207,7,40,1.0,3,80,67.5,2.2,0.8,D
208,7,40,1.0,3,80,67.5,1.5,0.6,C
209,7,40,1.0,3,80,67.5,1.5,0.6,D
210,7,40,1.0,5,80,67.5,2.9,1.0,C
211,7,40,1.0,5,80,67.5,2.9,1.0,D
212,7,40,1.0,5,80,67.5,2.2,0.8,C
213,7,40,1.0,5,80,67.5,2.2,0.8,D
214,7,40,1.0,5,80,67.5,1.5,0.6,C
215,7,40,1.0,5,80,67.5,1.5,0.6,D
216,9,20,1.0,1,80,67.5,2.9,1.0,C
217,9,20,1.0,1,80,67.5,2.9,1.0,D
218,9,20,1.0,1,80,67.5,2.2,0.8,C
219,9,20,1.0,1,80,67.5,2.2,0.8,D
220,9,20,1.0,1,80,67.5,1.5,0.6,C
221,9,20,1.0,1,80,67.5,1.5,0.6,D
222,9,20,1.0,3,80,67.5,2.9,1.0,C
223,9,20,1.0,3,80,67.5,2.9,1.0,D
224,9,20,1.0,3,80,67.5,2.2,0.8,C
225,9,20,1.0,3,80,67.5,2.2,0.8,D
226,9,20,1.0,3,80,67.5,1.5,0.6,C
227,9,20,1.0,3,80,67.5,1.5,0.6,D
228,9,20,1.0,5,80,67.5,2.9,1.0,C
229,9,20,1.0,5,80,67.5,2.9,1.0,D
230,9,20,1.0,5,80,67.5,2.2,0.8,C
231,9,20,1.0,5,80,67.5,2.2,0.8,D
232,9,20,1.0,5,80,67.5,1.5,0.6,C
233,9,20,1.0,5,80,67.5,1.5,0.6,D
234,9,30,1.0,1,80,67.5,2.9,1.0,C
235,9,30,1.0,1,80,67.5,2.9,1.0,D
236,9,30,1.0,1,80,67.5,2.2,0.8,C
237,9,30,1.0,1,80,67.5,2.2,0.8,D
238,9,30,1.0,1,80,67.5,1.5,0.6,C
239,9,30,1.0,1,80,67.5,1.5,0.6,D
240,9,30,1.0,3,80,67.5,2.9,1.0,C
241,9,30,1.0,3,80,67.5,2.9,1.0,D
242,9,30,1.0,3,80,67.5,2.2,0.8,C
243,9,30,1.0,3,80,67.5,2.2,0.8,D
244,9,30,1.0,3,80,67.5,1.5,0.6,C
245,9,30,1.0,3,80,67.5,1.5,0.6,D
246,9,30,1.0,5,80,67.5,2.9,1.0,C
247,9,30,1.0,5,80,67.5,2.9,1.0,D
248,9,30,1.0,5,80,67.5,2.2,0.8,C
249,9,30,1.0,5,80,67.5,2.2,0.8,D
250,9,30,1.0,5,80,67.5,1.5,0.6,C
251,9,30,1.0,5,80,67.5,1.5,0.6,D
252,9,40,1.0,1,80,67.5,2.9,1.0,C
253,9,40,1.0,1,80,67.5,2.9,1.0,D
254,9,40,1.0,1,80,67.5,2.2,0.8,C
255,9,40,1.0,1,80,67.5,2.2,0.8,D
256,9,40,1.0,1,80,67.5,1.5,0.6,C
257,9,40,1.0,1,80,67.5,1.5,0.6,D
258,9,40,1.0,3,80,67.5,2.9,1.0,C
259,9,40,1.0,3,80,67.5,2.9,1.0,D
260,9,40,1.0,3,80,67.5,2.2,0.8,C
261,9,40,1.0,3,80,67.5,2.2,0.8,D
262,9,40,1.0,3,80,67.5,1.5,0.6,C
263,9,40,1.0,3,80,67.5,1.5,0.6,D
264,9,40,1.0,5,80,67.5,2.9,1.0,C
265,9,40,1.0,5,80,67.5,2.9,1.0,D
266,9,40,1.0,5,80,67.5,2.2,0.8,C
267,9,40,1.0,5,80,67.5,2.2,0.8,D
268,9,40,1.0,5,80,67.5,1.5,0.6,C
269,9,40,1.0,5,80,67.5,1.5,0.6,D
