Period (s),101h1,101h2,102h1,102h2,103h1,103h2,104h1,104h2,105h1,105h2,201h1,201h2,202h1,202h2,203h1,203h2,204h1,204h2,205h1,205h2,301h1,301h2,302h1,302h2,303h1,303h2,304h1,304h2,305h1,305h2,401h1,401h2,402h1,402h2,403h1,403h2,404h1,404h2,405h1,405h2,501h1,501h2,502h1,502h2,503h1,503h2,504h1,504h2,505h1,505h2,601h1,601h2,602h1,602h2,603h1,603h2,604h1,604h2,605h1,605h2,701h1,701h2,702h1,702h2,703h1,703h2,704h1,704h2,705h1,705h2,801h1,801h2,802h1,802h2,803h1,803h2,804h1,804h2,805h1,805h2
0.36,0.1844438,0.2103886,0.1038139,0.07840029,0.2791472,0.1931573,0.09209575,0.2403321,0.1225324,0.1268863,0.3077599,0.2603053,0.3875743,0.304668,0.4583996,0.2188112,0.1357608,0.2155895,0.4013386,0.2890483,0.2624359,0.2858613,0.1457948,0.07442723,0.05240116,0.05910638,0.09644971,0.08548944,0.1869287,0.2754411,1.494082,1.598347,0.573582,0.5366336,0.09974067,0.08736777,0.07510564,0.07415827,0.09926813,0.07616051,0.02109432,0.01743785,0.00370527,0.00436001,0.00095887,0.00127332,0.00560481,0.0049547,0.05401224,0.0677698,0.6584024,0.7829819,0.5157288,0.2351924,0.1661564,0.1739913,0.8510237,0.2656193,0.13086,0.164858,0.09252018,0.06059134,0.1010463,0.09073794,0.9159968,0.7232414,0.1316951,0.3071814,0.1909051,0.2111531,0.0118249,0.00780706,0.01175528,0.01302773,0.01829135,0.02659725,0.3366091,0.4312223,0.3898889,0.386934
0.38,0.21467,0.1878238,0.1186302,0.07569224,0.278169,0.2284803,0.1076178,0.2367345,0.1159068,0.1384786,0.3382099,0.2673362,0.4365372,0.406293,0.430209,0.2326022,0.1092422,0.1855514,0.4132574,0.2017895,0.2451306,0.2563226,0.1105516,0.09026743,0.05595826,0.06883188,0.1228572,0.08193646,0.1723635,0.26469,1.283361,1.172442,0.5030556,0.508262,0.08301634,0.06225701,0.0777218,0.0713511,0.09132221,0.07420504,0.01913339,0.01714006,0.00445391,0.00412648,0.00101627,0.00126794,0.00634561,0.00637916,0.05640687,0.07715699,0.5846047,0.7423121,0.4281781,0.2240598,0.1456944,0.1652309,0.7846621,0.3148066,0.1519165,0.1753857,0.0859523,0.05862761,0.07722806,0.08064015,0.9092689,0.8459482,0.1320767,0.3705316,0.1903551,0.2753487,0.01010517,0.00685724,0.01242858,0.01080438,0.01803591,0.0282532,0.404557,0.4246234,0.4037373,0.471678
0.4,0.1994352,0.2095109,0.1283767,0.08242955,0.2014682,0.2837017,0.123398,0.2009802,0.1171022,0.1368378,0.2751889,0.2511815,0.4154631,0.4162508,0.4160212,0.2391093,0.09711088,0.1686213,0.4106699,0.1790057,0.2585523,0.2431565,0.1152744,0.09880299,0.05208696,0.07565169,0.1296232,0.07881431,0.163398,0.2944422,1.175987,0.958433,0.6300659,0.5845385,0.07021903,0.05986433,0.09038974,0.07120165,0.07471403,0.07246228,0.01793147,0.01835072,0.00518446,0.00496983,0.00102198,0.00123735,0.00786493,0.00760196,0.05886414,0.09482194,0.5480775,0.6570098,0.3475478,0.1782453,0.1362554,0.1325399,0.817672,0.3139911,0.2074383,0.1825193,0.08181636,0.05969746,0.07837977,0.07697471,0.9655357,0.9587563,0.1373853,0.3521679,0.1955486,0.3212966,0.01068049,0.00668916,0.01415079,0.01323614,0.01816496,0.02423332,0.4258552,0.4042313,0.4037427,0.52643
0.42,0.1631822,0.2441954,0.1383652,0.07916271,0.1552762,0.2746306,0.1335646,0.1490275,0.1016881,0.1240963,0.2526626,0.2318675,0.4015258,0.3794635,0.3966826,0.2148356,0.1185109,0.1328562,0.4374599,0.1782717,0.244706,0.2855043,0.1319083,0.1046142,0.05278081,0.07750909,0.1277293,0.08349703,0.1884005,0.3167487,1.100791,0.8131244,0.8001542,0.5891958,0.06660239,0.06295286,0.09848506,0.05846253,0.08806536,0.0680682,0.01563182,0.01962827,0.00540326,0.00616483,0.00102739,0.00131378,0.00773947,0.0065319,0.06732879,0.1040041,0.7212685,0.556927,0.3604198,0.1888756,0.1335226,0.1198562,0.8425193,0.2631764,0.2324263,0.2195172,0.08425412,0.06187984,0.1002081,0.06374241,1.017466,0.9811237,0.1545311,0.3023946,0.2101928,0.3512474,0.01076551,0.00625488,0.01398913,0.01313898,0.01968175,0.02483422,0.4157855,0.4439475,0.3896577,0.5334559
0.44,0.164705,0.2736976,0.1164467,0.07255869,0.1544872,0.2033205,0.1419322,0.1328261,0.1058401,0.1017234,0.2578449,0.2580947,0.4265118,0.3466364,0.3782189,0.2010273,0.1287358,0.1251423,0.4671968,0.1560305,0.27746,0.3226124,0.1105137,0.09933215,0.05870671,0.07032058,0.1200854,0.1018622,0.1852999,0.3326366,1.004153,0.6889837,0.7701694,0.5721619,0.06777024,0.05371946,0.09542216,0.06324684,0.08788125,0.08254013,0.01558569,0.01859756,0.00520077,0.00721221,0.00105861,0.00142995,0.00704009,0.00612954,0.07304662,0.1118379,0.6983975,0.4363796,0.4331858,0.1865932,0.1376009,0.1057989,0.7920742,0.1877937,0.1979515,0.2000416,0.07348625,0.05734616,0.09839956,0.05888883,1.099601,0.9916416,0.1635163,0.2989776,0.2259797,0.3604259,0.01061747,0.00700007,0.01363116,0.01145786,0.02269308,0.02790645,0.3773881,0.4097816,0.3764006,0.4975945
0.45,0.1777813,0.2679893,0.09750956,0.06750757,0.1608246,0.1641755,0.1432468,0.130903,0.1089917,0.09233783,0.2654936,0.2741174,0.4506611,0.3496376,0.3606093,0.1916202,0.1233105,0.121753,0.4526845,0.1609109,0.2974632,0.3189256,0.1040754,0.09770555,0.06047146,0.06882045,0.1111191,0.1065814,0.1773746,0.3311096,0.9454333,0.6954968,0.6896026,0.5691183,0.06851702,0.05012934,0.0913092,0.06869743,0.08562808,0.08729803,0.01724933,0.02047116,0.0049407,0.00746732,0.00105313,0.00149555,0.00756992,0.00617036,0.07825867,0.1146204,0.6238663,0.3833466,0.4716604,0.1859047,0.1404435,0.09775843,0.7381319,0.1748109,0.1737588,0.1872679,0.06889686,0.05256748,0.09996045,0.0612849,1.110517,0.9944322,0.1648586,0.3089337,0.2489502,0.3596366,0.01007289,0.00710192,0.01433311,0.01006939,0.02481797,0.0295006,0.3506329,0.3913883,0.3557427,0.4687077
0.46,0.1888616,0.2396115,0.07679798,0.06289317,0.1624686,0.1494712,0.143867,0.1442143,0.1083724,0.08325715,0.2666593,0.2812603,0.4637123,0.3526631,0.3698819,0.1927848,0.1204456,0.1175178,0.4198453,0.158344,0.3087535,0.3015648,0.1111382,0.09386308,0.06363691,0.06709728,0.0987756,0.1017127,0.1578757,0.3256079,0.880267,0.6788743,0.5925319,0.5320391,0.06822702,0.05039009,0.08357055,0.07347775,0.0793386,0.0918347,0.01926218,0.02362905,0.00477689,0.00718689,0.00105226,0.00154772,0.00786529,0.00625366,0.07971151,0.1147759,0.5575287,0.3357939,0.498906,0.185801,0.1429103,0.09349582,0.6712086,0.1721284,0.1564352,0.1866555,0.06548738,0.04919683,0.1042498,0.06140965,1.087133,1.000652,0.1707547,0.3122826,0.2679396,0.3514945,0.00943924,0.00707127,0.01460894,0.00883824,0.0261084,0.03125274,0.3202013,0.3557014,0.3428374,0.4353654
0.48,0.2083048,0.1823745,0.06041935,0.05216013,0.1855551,0.1390942,0.1373238,0.1535053,0.09462405,0.068005,0.2795737,0.2717292,0.4723517,0.3800273,0.4131679,0.1778385,0.1285711,0.1164459,0.3375022,0.1412503,0.3065378,0.2931632,0.1218856,0.08693585,0.06569427,0.07286891,0.08558057,0.1013852,0.1556139,0.3027136,0.7392052,0.5909144,0.4356283,0.5211227,0.06275172,0.05438596,0.06770705,0.07529648,0.07958473,0.1045129,0.0197879,0.02487748,0.00490511,0.00652484,0.00103503,0.00160002,0.00753727,0.00614418,0.07169139,0.1053685,0.5132625,0.2860621,0.5037944,0.1872555,0.1465603,0.08793519,0.6144397,0.2110179,0.1562297,0.1800103,0.06106934,0.04806012,0.1137685,0.06173334,0.9795728,1.016609,0.1709069,0.3003592,0.2689528,0.3148133,0.00911853,0.00757083,0.01362242,0.00824837,0.02423263,0.02943534,0.2455577,0.3105712,0.3070543,0.3652023
0.5,0.2225965,0.1772823,0.05403709,0.04469179,0.1924154,0.1263086,0.1218512,0.14789,0.072444,0.05989489,0.324961,0.284235,0.5111403,0.4341325,0.4253164,0.2194237,0.1247165,0.1229598,0.2801577,0.1535824,0.3045878,0.2558452,0.1322884,0.09372543,0.05847475,0.07542149,0.07552782,0.0872916,0.1501885,0.2644363,0.5959975,0.4861697,0.367131,0.4158422,0.07299695,0.06000404,0.06763425,0.06998736,0.08033922,0.1199929,0.01657307,0.02504594,0.00489196,0.0061117,0.00094257,0.00159767,0.00724445,0.00609795,0.06400843,0.09722681,0.4697548,0.2875771,0.4674792,0.2034234,0.1476697,0.08338359,0.5638228,0.2012273,0.1797101,0.1708303,0.05651939,0.05222384,0.1081258,0.06985796,0.884589,0.9813001,0.160775,0.289597,0.2614506,0.2672985,0.00821881,0.00599626,0.01328825,0.00852993,0.02153602,0.02788722,0.2044305,0.3079744,0.3364308,0.3049198
0.55,0.2042993,0.142182,0.05786063,0.03951597,0.26517,0.1465306,0.06233139,0.1090299,0.04523301,0.0679493,0.30316,0.3103625,0.4934463,0.5489019,0.4367768,0.1979601,0.08881769,0.1660355,0.3072225,0.1492115,0.2126864,0.2152959,0.09002778,0.0784026,0.05588907,0.1027138,0.08304562,0.07699037,0.1156074,0.2139833,0.4111266,0.350221,0.3738565,0.4133404,0.06107118,0.04434907,0.06457936,0.07539093,0.07530219,0.1034225,0.01037076,0.02244441,0.00530982,0.00519589,0.0009433,0.00151609,0.00701703,0.00575685,0.07150848,0.0860584,0.3997277,0.27923,0.3009717,0.1578224,0.1384929,0.07403214,0.3947355,0.1447006,0.2154298,0.1404548,0.0605305,0.07312902,0.07795109,0.07016851,0.6884174,0.6855583,0.133665,0.2120709,0.1942383,0.2152348,0.00876303,0.0048685,0.01355567,0.00743877,0.02244447,0.02783926,0.1954592,0.2590984,0.3418032,0.3318474
0.6,0.2006126,0.1296793,0.04291315,0.02970996,0.2073247,0.1560931,0.06226591,0.1311179,0.04415774,0.04988329,0.3003523,0.3203899,0.6089981,0.7011826,0.4242626,0.2772716,0.1084274,0.1656662,0.2967914,0.1781063,0.201392,0.259418,0.07715847,0.08579861,0.06117688,0.08603632,0.08014853,0.08736601,0.1056554,0.182838,0.3299957,0.2864887,0.5214466,0.3775616,0.06451794,0.03027112,0.06204359,0.06054067,0.06901967,0.06585733,0.01286668,0.02209172,0.00488307,0.004815,0.00099678,0.00162654,0.00707655,0.00572653,0.07049314,0.07474222,0.3757762,0.2642797,0.2223537,0.1152714,0.121159,0.06923358,0.3143916,0.158543,0.2138723,0.1722376,0.07320748,0.08725289,0.06498832,0.09310914,0.4189283,0.5851066,0.1079886,0.1904072,0.1582699,0.2078874,0.01193851,0.00600918,0.01394077,0.00637651,0.02463556,0.02813386,0.2060121,0.2926335,0.3118113,0.3498249
0.65,0.2481656,0.1212597,0.03460816,0.02790108,0.1485261,0.1142489,0.06011292,0.1430727,0.03784059,0.05970227,0.2342686,0.2661341,0.7875369,0.7972354,0.3008038,0.3571991,0.1094709,0.1751976,0.3337229,0.2059196,0.2089957,0.2443703,0.09330923,0.1109569,0.05995554,0.06031139,0.0852069,0.07661384,0.07134455,0.1695555,0.332608,0.2630638,0.5154908,0.3642448,0.0543915,0.03488099,0.05468551,0.06580909,0.0663005,0.05386196,0.01330615,0.02396665,0.00440977,0.00432879,0.00115812,0.00147548,0.00741085,0.00788811,0.05736325,0.08053721,0.3639668,0.292843,0.2272499,0.1114952,0.09338727,0.06450639,0.3182361,0.1142694,0.1642977,0.1183671,0.06593449,0.07021644,0.07717674,0.09820459,0.2463971,0.6902987,0.06815889,0.1406218,0.129088,0.2009017,0.0129842,0.00862702,0.01199801,0.00750673,0.02457569,0.0218908,0.2049533,0.2277865,0.3373327,0.4230704
0.667,0.2489353,0.1230062,0.03254804,0.0252764,0.1503296,0.1262383,0.05665433,0.132672,0.03828208,0.06425691,0.206066,0.2493281,0.7986243,0.7941222,0.2583379,0.3451365,0.1017696,0.1649533,0.315856,0.2261039,0.2162005,0.2363435,0.09715988,0.1074339,0.06641831,0.06480172,0.08375259,0.08261262,0.06745218,0.1600918,0.3299282,0.2910168,0.4592778,0.3549204,0.05242898,0.03768808,0.05220855,0.06629968,0.06546611,0.06063318,0.01202939,0.02170475,0.00426093,0.00398119,0.00121285,0.00143294,0.00706566,0.00832854,0.05785925,0.09186321,0.3594128,0.3135611,0.2501537,0.1194407,0.0818208,0.05995953,0.3170853,0.1079056,0.136956,0.1123138,0.05816261,0.06163302,0.07292502,0.1038333,0.24419,0.7299785,0.06316014,0.1254843,0.1306982,0.1997961,0.01242898,0.00921626,0.01210511,0.00789418,0.02530571,0.0201572,0.205512,0.1997237,0.3452066,0.4459127
0.7,0.230536,0.1255935,0.02739752,0.02108448,0.1421849,0.1376907,0.05550046,0.1182252,0.04748951,0.06973171,0.1936619,0.2670508,0.7688197,0.7314956,0.2040921,0.2768281,0.08906672,0.1329092,0.2930148,0.2411744,0.1987584,0.2368982,0.08887701,0.1011647,0.074066,0.07103044,0.08474379,0.09400218,0.08117557,0.1524537,0.3124575,0.3185331,0.3714559,0.3115795,0.05588893,0.03824341,0.05456116,0.06608163,0.0613386,0.06241043,0.01391627,0.01664042,0.0045714,0.00358632,0.00126341,0.00130843,0.00820317,0.00895008,0.07080618,0.1062232,0.3906461,0.3468099,0.2815347,0.1241497,0.07423238,0.04657371,0.3076344,0.101845,0.1156144,0.09744716,0.06309086,0.04941779,0.07419063,0.1180652,0.2571776,0.7739305,0.06727585,0.1228722,0.1261859,0.1922343,0.01061187,0.00694277,0.01089795,0.00652127,0.02371935,0.01905697,0.2126609,0.1565755,0.3608465,0.4875905
0.75,0.2234805,0.1382383,0.02922603,0.02018131,0.1128212,0.1340725,0.05226492,0.1075193,0.05545783,0.04964561,0.1686174,0.2286544,0.6565669,0.6763346,0.1980076,0.169156,0.09549105,0.09700088,0.2940725,0.214963,0.1699034,0.2341564,0.08105325,0.1085875,0.05881697,0.08931833,0.0705449,0.08276799,0.08511375,0.1118324,0.2707411,0.3171396,0.3065434,0.2917441,0.07478029,0.04029125,0.05874599,0.06211359,0.05733448,0.06732095,0.01232257,0.01488797,0.00522993,0.00482278,0.00140791,0.00151627,0.00951818,0.00743315,0.07903957,0.1046031,0.4122682,0.351781,0.2894207,0.08746518,0.05567332,0.0377155,0.2838613,0.08719397,0.1052717,0.07839809,0.06135208,0.04460497,0.0583399,0.1131371,0.2914194,0.7410925,0.06439126,0.1458057,0.1132035,0.166159,0.00919213,0.0043233,0.00958606,0.00481163,0.02459519,0.01998999,0.2254544,0.1508982,0.3902434,0.5230097
0.8,0.1408638,0.1018522,0.03123579,0.01799938,0.08895862,0.1330131,0.05600785,0.1088589,0.05205153,0.0350163,0.1687891,0.216776,0.5949488,0.6461792,0.2153918,0.1428013,0.09117368,0.08885118,0.2904158,0.1813983,0.1864614,0.2138731,0.09729891,0.1101123,0.06191976,0.08286312,0.07221411,0.08117183,0.09351267,0.1148259,0.2388736,0.2591493,0.3047269,0.3092701,0.06773965,0.0456902,0.06082304,0.05277376,0.0524323,0.06002716,0.01469196,0.01176819,0.00611949,0.00593492,0.0016159,0.00153205,0.00868737,0.00544742,0.08090641,0.1118659,0.4126067,0.3224049,0.2551551,0.0841269,0.04474638,0.03491813,0.2661701,0.0667954,0.09672811,0.07290274,0.0661124,0.03722513,0.06713267,0.1258958,0.2999263,0.6686085,0.07440712,0.1366249,0.1151434,0.1777826,0.00796133,0.00375465,0.0082596,0.00441726,0.02227782,0.02460975,0.2025681,0.1715351,0.4038061,0.5297754
0.85,0.1096978,0.07545429,0.03588845,0.02106274,0.09501268,0.1125588,0.05666862,0.1012955,0.04600081,0.03197278,0.1332148,0.2345177,0.6860281,0.5885053,0.2554179,0.1251326,0.09136008,0.06715175,0.2973689,0.1861307,0.2177113,0.2201253,0.09178654,0.1059435,0.06611408,0.0659894,0.08296604,0.08724602,0.1013326,0.09475873,0.2286899,0.2051109,0.2867409,0.3778615,0.04287243,0.0407051,0.06050183,0.04161152,0.04844077,0.04449565,0.01378249,0.01264912,0.00626684,0.00673353,0.00179301,0.00164333,0.00757136,0.00560427,0.07423957,0.1088577,0.4416185,0.2880653,0.2219964,0.06576384,0.04240135,0.03238244,0.2445961,0.06451817,0.06457888,0.05745305,0.06841905,0.04684845,0.07318836,0.1017243,0.2613927,0.6280752,0.07496499,0.1021661,0.1046333,0.1866154,0.00696511,0.00408589,0.00822181,0.00460172,0.02298417,0.03068057,0.1627716,0.1683661,0.409831,0.5102801
0.9,0.1278429,0.05515811,0.03332867,0.01812798,0.07865242,0.1100308,0.05506823,0.103685,0.03843051,0.03880487,0.1521636,0.3211161,0.7694578,0.5529149,0.2880971,0.1764562,0.09924302,0.06595629,0.319099,0.2011936,0.2527342,0.1967906,0.08244479,0.1133693,0.07310421,0.06504311,0.08923683,0.0828684,0.09393293,0.1129593,0.2197262,0.1419374,0.2836192,0.3616655,0.03367174,0.03821475,0.05813868,0.03742026,0.04336475,0.05006094,0.01575788,0.01090679,0.00814685,0.00703595,0.00175779,0.00173312,0.00853484,0.00683343,0.0879539,0.1030905,0.4079573,0.2448602,0.1944044,0.05184285,0.05284965,0.03332888,0.2302198,0.05063983,0.05292137,0.06539249,0.06657855,0.04722077,0.07970585,0.09687031,0.1928218,0.5698391,0.06792035,0.08699003,0.1111198,0.1767905,0.00641487,0.0033385,0.00767706,0.00508179,0.01824058,0.02663866,0.1455956,0.1459636,0.4053333,0.4829511
0.95,0.1481804,0.06191714,0.03500711,0.017046,0.05737046,0.1310236,0.05119549,0.135363,0.03620788,0.04852486,0.1708595,0.3187704,0.96389,0.5507188,0.2723441,0.1950998,0.08705273,0.06363802,0.3224979,0.1901426,0.1951103,0.2034098,0.1094506,0.1186235,0.07762869,0.05377448,0.08680029,0.07407932,0.09004709,0.1221153,0.2097577,0.1180932,0.368231,0.3289501,0.03175769,0.03657807,0.06152558,0.04393648,0.046062,0.04619717,0.01506321,0.01003218,0.00867749,0.00746524,0.00153012,0.00153616,0.00998358,0.00775944,0.09442969,0.1005866,0.3596364,0.2218313,0.1567122,0.04951598,0.04340399,0.04149687,0.2127141,0.04781375,0.04905384,0.07588083,0.05507712,0.05095107,0.06969091,0.1248487,0.1686459,0.5115297,0.07709438,0.08573776,0.1219625,0.1728326,0.00636726,0.00299967,0.006784,0.00481104,0.01729248,0.02483526,0.134968,0.1256146,0.3922776,0.4403058
1,0.1341826,0.07140176,0.03437279,0.02085865,0.05809835,0.1133626,0.06214048,0.1489734,0.03188209,0.05119251,0.1738332,0.322152,1.144946,0.5448844,0.256914,0.1782959,0.07184025,0.08177648,0.2840628,0.1805475,0.1863902,0.2222952,0.1222016,0.131542,0.07840019,0.04521319,0.09095611,0.08279388,0.08800888,0.1101156,0.1988548,0.1191919,0.4048801,0.2975802,0.02835921,0.03037162,0.07789323,0.0416441,0.06362294,0.03625358,0.01241392,0.01036527,0.00972223,0.00635265,0.00157588,0.00167142,0.01048679,0.00711547,0.09198508,0.1146564,0.3405437,0.2087534,0.1229761,0.04620393,0.04716459,0.04317103,0.1984934,0.04730357,0.04366032,0.07972755,0.04828583,0.05107615,0.06879274,0.1261332,0.1355245,0.452869,0.06560981,0.08996639,0.1173754,0.1825881,0.00711571,0.00315263,0.0071799,0.00453742,0.01845858,0.02227665,0.1266208,0.1021312,0.3725006,0.3984065
1.1,0.1294743,0.04589139,0.02449928,0.02181825,0.06161335,0.07993936,0.04912193,0.1434384,0.01971989,0.04545692,0.1511459,0.1986002,1.181599,0.5767488,0.2273104,0.1685036,0.07945937,0.1048707,0.1726285,0.144099,0.169053,0.2000999,0.1158635,0.1208343,0.08612683,0.05016782,0.0896074,0.07066368,0.07460532,0.07074554,0.1828236,0.09613429,0.2911744,0.2064647,0.02742652,0.02160106,0.05867647,0.03493842,0.06715278,0.02166597,0.01297083,0.01522781,0.00885544,0.00544768,0.00186641,0.00171137,0.01380084,0.00683611,0.103243,0.1490896,0.305525,0.1748761,0.09617431,0.05035456,0.03380656,0.03562728,0.1732125,0.0510054,0.03422951,0.08564749,0.0384619,0.04151815,0.0790932,0.1099435,0.1217055,0.3288424,0.07502653,0.1227116,0.08264543,0.151848,0.00651628,0.0037683,0.00561357,0.00297064,0.01904553,0.02170633,0.1098489,0.06607766,0.3327898,0.3470985
1.2,0.1412465,0.04311466,0.01889094,0.01719617,0.06090649,0.05650054,0.0319015,0.0991493,0.02191528,0.04041323,0.1402387,0.2187231,0.9522623,0.6135937,0.2422734,0.1756629,0.07324218,0.1008966,0.1199997,0.1270557,0.1583025,0.1829887,0.111018,0.1022755,0.07127137,0.05029646,0.08337077,0.09589367,0.06734936,0.06968533,0.1617,0.08243328,0.2574601,0.215852,0.02231992,0.02223251,0.0311124,0.04820302,0.0517304,0.0187352,0.00925052,0.0135756,0.00686568,0.00627738,0.0021815,0.00191332,0.01701596,0.00990786,0.1013274,0.1448905,0.2466767,0.1556004,0.08173627,0.04374064,0.02544094,0.02473444,0.1551489,0.03774249,0.03887087,0.06437846,0.03620243,0.03275494,0.06406332,0.09431633,0.1089606,0.2474445,0.05421489,0.1648038,0.06912357,0.1213865,0.00541938,0.00409045,0.00395312,0.00239333,0.02200163,0.02002739,0.09245573,0.06235803,0.2887689,0.2932425
1.3,0.1167353,0.0411333,0.01770085,0.01444471,0.05481816,0.05320879,0.03743044,0.06042512,0.02001206,0.04286023,0.1134046,0.2109432,0.6878057,0.520726,0.229619,0.1755577,0.04845713,0.08241116,0.08939731,0.1064908,0.1319859,0.1426507,0.1051463,0.09975963,0.09182637,0.06452674,0.1029999,0.1174283,0.06498663,0.1084932,0.1306634,0.08423194,0.1780056,0.2293026,0.01609095,0.02019208,0.02365493,0.05121063,0.04415622,0.0224827,0.00985063,0.01202183,0.00717448,0.00742035,0.00252574,0.00283043,0.0172362,0.01257045,0.1014404,0.1391733,0.1771081,0.1357756,0.06767167,0.02553382,0.02188692,0.02547919,0.1359148,0.04486636,0.02987605,0.04724124,0.0240355,0.02894114,0.0598496,0.08071131,0.08953776,0.1984161,0.05640005,0.1582408,0.07150432,0.09546031,0.00450058,0.00291233,0.00382541,0.00264167,0.02379935,0.02442172,0.07792244,0.06804612,0.254203,0.2425576
1.4,0.1024491,0.04962667,0.01902076,0.01560183,0.06006083,0.07105813,0.02903237,0.04487192,0.01547952,0.03910446,0.09800766,0.1432488,0.5031621,0.3856227,0.2324416,0.1584677,0.03065404,0.0605972,0.07537285,0.09537726,0.1166097,0.1913568,0.08860967,0.08217084,0.089983,0.06657466,0.1408217,0.09221866,0.06886338,0.1223285,0.1121043,0.08108264,0.1247787,0.1887275,0.01534058,0.01687889,0.02164884,0.03740965,0.04203098,0.01902712,0.01173461,0.01077568,0.00693777,0.00581007,0.00223118,0.00256013,0.01795168,0.00978706,0.06812743,0.1190933,0.1493267,0.1217771,0.05495998,0.02124679,0.01666688,0.01919755,0.1171653,0.04138747,0.02209743,0.04510891,0.02215109,0.02783407,0.05974684,0.05450337,0.06799318,0.1517543,0.05195218,0.114219,0.06412955,0.06655627,0.00325827,0.00302471,0.00503143,0.00386966,0.02953862,0.03021153,0.06754229,0.06709851,0.2247367,0.1992462
1.5,0.1039368,0.04093829,0.02060011,0.01025966,0.07655623,0.06180352,0.03277404,0.03194503,0.01862919,0.03501522,0.101365,0.1417167,0.3854962,0.2815796,0.1702367,0.1341942,0.02734663,0.04475255,0.07294661,0.08409256,0.09225281,0.1596819,0.09694831,0.07732168,0.08171861,0.05772917,0.1331394,0.0947508,0.07376829,0.105998,0.1025676,0.0823743,0.1029051,0.1381261,0.01449803,0.01214352,0.01647833,0.02697724,0.03889639,0.01812566,0.0098278,0.01231366,0.00615111,0.00669877,0.0027504,0.00260318,0.01184433,0.00852625,0.05680379,0.08141797,0.1237272,0.1100792,0.04408706,0.02147229,0.01368267,0.01388026,0.09952214,0.03371963,0.01743581,0.04566306,0.02055781,0.02603401,0.04318451,0.05677514,0.0682219,0.1115491,0.0324788,0.0754107,0.05800514,0.05610477,0.00250977,0.00291571,0.00568511,0.00512167,0.02483404,0.02979363,0.06054403,0.07247543,0.1974058,0.16583
1.6,0.1123108,0.03826115,0.01751987,0.00702086,0.05653719,0.06122769,0.03392521,0.03481269,0.01918218,0.02831898,0.1271333,0.1747632,0.292619,0.211367,0.1196983,0.135195,0.02120868,0.04565136,0.07792397,0.07520102,0.109172,0.1687466,0.1006478,0.1054199,0.07493097,0.05045562,0.1033019,0.1126363,0.1026171,0.1117188,0.08190309,0.08432245,0.09388389,0.1063385,0.01274565,0.00936183,0.01368838,0.02101836,0.03143963,0.01874441,0.00872702,0.01256214,0.00718687,0.00694734,0.00234698,0.00329967,0.00869746,0.01014406,0.0645939,0.08853891,0.1039934,0.09607729,0.04082645,0.02258594,0.01087482,0.01029907,0.08336794,0.02651098,0.01379146,0.04281494,0.01669051,0.02225953,0.03477429,0.05159925,0.06897473,0.09917144,0.02642876,0.05051637,0.05056309,0.04342922,0.00223742,0.00250484,0.00592418,0.00399145,0.02301173,0.02673499,0.0533645,0.06876435,0.1738645,0.1371268
1.7,0.1139849,0.03653577,0.01358829,0.00682002,0.05380885,0.0694205,0.03139571,0.0318018,0.02192272,0.01957422,0.1668992,0.2074274,0.2158655,0.164069,0.09822056,0.1474629,0.02226527,0.05806699,0.07025302,0.07998444,0.1183008,0.1863761,0.0925127,0.1357707,0.05538837,0.06698954,0.06419241,0.1174577,0.1126046,0.1260894,0.07025637,0.07685503,0.0896076,0.08937148,0.01397242,0.01092181,0.01022645,0.0164729,0.02425471,0.01872527,0.00638051,0.0108477,0.00846335,0.00793081,0.00224757,0.00391386,0.00798781,0.01116635,0.0763687,0.09100752,0.08825204,0.08041854,0.03862805,0.02371379,0.00840068,0.00919568,0.06886072,0.01763596,0.01218462,0.03928747,0.01787866,0.0188789,0.0374155,0.05453454,0.06889095,0.1090966,0.01881821,0.035317,0.036817,0.03861738,0.00246001,0.00181299,0.00443226,0.00276333,0.02219846,0.02608638,0.04659847,0.05975503,0.1542961,0.116026
1.8,0.08944379,0.04160707,0.00992857,0.00655535,0.04549081,0.06413907,0.03139094,0.03290595,0.0200838,0.01411851,0.1715483,0.2081371,0.1752724,0.1332337,0.07355709,0.1387701,0.02114044,0.05997383,0.05762225,0.07898513,0.1165634,0.1478234,0.07236931,0.1409953,0.04801351,0.07470832,0.07210006,0.1016,0.08735739,0.09663063,0.06105247,0.07297103,0.09299689,0.07360916,0.01511043,0.01113201,0.00844645,0.01321429,0.01881858,0.02177585,0.00471285,0.00840243,0.00927573,0.00765608,0.00273301,0.00423837,0.00874425,0.01315044,0.0638295,0.06126384,0.07313206,0.06444588,0.03913861,0.01761332,0.007389,0.00853322,0.0561197,0.01705491,0.01365247,0.03353671,0.01550612,0.0165369,0.04049741,0.05538682,0.06299397,0.1057588,0.01511274,0.03097119,0.02507861,0.03335581,0.00258202,0.00193376,0.00352416,0.0017427,0.02774126,0.02632678,0.04220045,0.04892979,0.136994,0.1056443
